Date,Open,High,Low,Close,Adj Close,Volume
2020-08-10,42.560001,43.220001,42.560001,43.020000,42.609100,16375000
2020-08-11,43.250000,44.000000,42.919998,42.990002,42.579384,17140700
2020-08-12,43.009998,43.730000,42.970001,43.340000,42.926044,10407500
2020-08-13,43.099998,43.430000,42.990002,43.389999,42.975563,12649500
2020-08-14,43.619999,44.180000,43.200001,43.770000,43.351933,15238000
2020-08-17,43.869999,43.950001,43.299999,43.529999,43.114227,12333300
2020-08-18,43.709999,43.740002,43.279999,43.540001,43.124130,8717300
2020-08-19,43.660000,43.759998,43.160000,43.320000,42.906231,9857900
2020-08-20,43.230000,43.439999,42.900002,43.270000,42.856709,11318700
2020-08-21,43.040001,43.230000,42.720001,43.070000,42.658619,12931400
2020-08-24,42.860001,43.820000,42.849998,43.799999,43.381645,15266700
2020-08-25,43.770000,43.779999,43.180000,43.410000,42.995373,8413000
2020-08-26,43.020000,44.360001,42.910000,44.200001,43.777828,14428200
2020-08-27,44.560001,44.799999,44.240002,44.540001,44.114578,14317500
2020-08-28,44.529999,44.570000,43.930000,44.560001,44.134388,10975100
2020-08-31,44.259998,45.130001,44.250000,44.810001,44.382004,24898100
2020-09-01,44.439999,45.090000,44.240002,45.049999,44.619705,16943200
2020-09-02,45.049999,45.930000,45.009998,45.169998,44.738560,20421100
2020-09-03,45.610001,45.939999,44.090000,44.439999,44.015533,18515100
2020-09-04,44.910000,44.970001,43.900002,44.430000,44.005627,16201700
2020-09-08,43.810001,44.259998,43.119999,43.810001,43.391556,20897600
2020-09-09,43.990002,44.990002,43.709999,44.599998,44.174007,15420900
2020-09-10,44.650002,45.009998,43.860001,44.020000,43.599548,16023600
2020-09-11,44.090000,44.740002,43.970001,44.669998,44.243336,18316200
2020-09-14,45.020000,45.490002,44.709999,45.270000,44.837608,11435700
2020-09-15,45.160000,46.740002,45.049999,46.459999,46.016239,18415900
2020-09-16,47.049999,47.500000,46.700001,46.810001,46.362896,26326900
2020-09-17,45.939999,46.430000,45.020000,45.580002,45.144650,21253500
2020-09-18,45.480000,45.849998,44.290001,45.259998,44.827702,39626000
2020-09-21,44.919998,45.439999,43.410000,44.680000,44.253242,32257700
2020-09-22,44.939999,46.480000,44.840000,46.189999,45.748821,32899300
2020-09-23,46.200001,46.380001,45.250000,45.360001,44.926746,19671200
2020-09-24,45.189999,46.080002,44.910000,45.700001,45.263500,14500600
2020-09-25,45.349998,46.330002,45.220001,46.150002,45.709202,12556000
2020-09-28,46.889999,47.070000,46.240002,46.759998,46.313374,16208800
2020-09-29,46.849998,46.869999,46.169998,46.200001,45.758724,11873800
2020-09-30,46.540001,46.720001,45.750000,46.259998,45.818150,27897300
2020-10-01,46.570000,46.770000,46.169998,46.439999,45.996429,15524400
2020-10-02,45.799999,45.990002,45.110001,45.150002,44.718754,18103900
2020-10-05,45.299999,45.930000,45.020000,45.810001,45.372448,12599400
2020-10-06,45.279999,45.520000,44.369999,44.509998,44.307320,17911200
2020-10-07,45.029999,45.110001,44.259998,44.959999,44.755272,17829200
2020-10-08,45.090000,45.389999,44.830002,45.299999,45.093723,15366000
2020-10-09,45.380001,45.630001,44.680000,44.849998,44.645771,25103900
2020-10-12,45.299999,46.259998,44.919998,45.990002,45.780582,19520100
2020-10-13,46.130001,46.310001,45.380001,45.889999,45.681038,13854400
2020-10-14,45.799999,46.009998,44.990002,45.279999,45.073814,15326700
2020-10-15,45.029999,45.150002,44.529999,45.110001,44.904591,12904800
2020-10-16,45.230000,45.889999,44.900002,45.560001,45.352543,13360900
2020-10-19,45.560001,45.759998,44.200001,44.330002,44.128143,17520400
2020-10-20,44.630001,44.660000,44.130001,44.270000,44.068413,13137400
2020-10-21,44.000000,44.900002,43.970001,44.520000,44.317276,13198900
2020-10-22,44.500000,45.240002,44.360001,45.110001,44.904591,15956600
2020-10-23,45.400002,45.549999,44.599998,45.060001,44.854816,10529200
2020-10-26,44.709999,44.820000,43.549999,43.770000,43.570690,15634600
2020-10-27,43.599998,43.840000,43.360001,43.439999,43.242191,11134900
2020-10-28,42.910000,43.080002,41.910000,41.980000,41.788841,20256200
2020-10-29,42.080002,43.689999,41.889999,43.060001,42.863926,20354400
2020-10-30,42.470001,43.049999,41.750000,42.240002,42.047661,22001800
2020-11-02,42.750000,42.930000,40.970001,41.400002,41.211483,24480400
2020-11-03,41.950001,42.980000,41.750000,42.619999,42.425926,20761600
2020-11-04,44.270000,44.610001,43.400002,43.700001,43.501011,23064100
2020-11-05,44.580002,44.810001,44.209999,44.349998,44.148048,18897400
2020-11-06,44.570000,44.700001,43.950001,44.529999,44.327229,14129100
2020-11-09,47.599998,48.230000,46.720001,47.180000,46.965164,37456800
2020-11-10,46.169998,47.959999,45.950001,47.770000,47.552479,21103100
2020-11-11,47.779999,47.970001,47.119999,47.669998,47.452930,11840000
2020-11-12,47.630001,48.090000,47.250000,47.980000,47.761520,20020400
